Algorithm,DataType,DataSize,Time_ms,Comparisons,Verified
Merge Sort,Random,100,0.087400,1147,true
Quick Sort,Random,100,0.407200,1388,true
Radix Sort,Random,100,0.197600,349,true
Radix+Quick Sort,Random,100,0.317200,1321,true
Merge Sort,Sorted,100,0.061600,770,true
Quick Sort,Sorted,100,0.365000,1420,true
Radix Sort,Sorted,100,0.219600,354,true
Radix+Quick Sort,Sorted,100,0.379000,1353,true
Merge Sort,Reverse Sorted,100,0.065000,688,true
Quick Sort,Reverse Sorted,100,0.316800,1437,true
Radix Sort,Reverse Sorted,100,0.185400,353,true
Radix+Quick Sort,Reverse Sorted,100,0.365200,1352,true
Merge Sort,Almost Sorted,100,0.075200,990,true
Quick Sort,Almost Sorted,100,0.306000,1313,true
Radix Sort,Almost Sorted,100,0.199200,354,true
Radix+Quick Sort,Almost Sorted,100,0.303400,1373,true
Merge Sort,Common Prefix,100,0.139000,3850,true
Quick Sort,Common Prefix,100,0.362800,4632,true
Radix Sort,Common Prefix,100,0.275000,1350,true
Radix+Quick Sort,Common Prefix,100,0.370600,4663,true
Merge Sort,Random,200,0.202000,2776,true
Quick Sort,Random,200,0.656400,3537,true
Radix Sort,Random,200,0.366800,780,true
Radix+Quick Sort,Random,200,0.634400,3319,true
Merge Sort,Sorted,200,0.137400,1817,true
Quick Sort,Sorted,200,0.647600,3193,true
Radix Sort,Sorted,200,0.371800,789,true
Radix+Quick Sort,Sorted,200,0.642000,3180,true
Merge Sort,Reverse Sorted,200,0.146200,1645,true
Quick Sort,Reverse Sorted,200,0.659000,3292,true
Radix Sort,Reverse Sorted,200,0.384200,787,true
Radix+Quick Sort,Reverse Sorted,200,0.645600,3366,true
Merge Sort,Almost Sorted,200,0.169200,2398,true
Quick Sort,Almost Sorted,200,0.683800,3267,true
Radix Sort,Almost Sorted,200,0.380400,781,true
Radix+Quick Sort,Almost Sorted,200,0.672800,3589,true
Merge Sort,Common Prefix,200,0.385800,9175,true
Quick Sort,Common Prefix,200,1.098600,11610,true
Radix Sort,Common Prefix,200,0.742400,2786,true
Radix+Quick Sort,Common Prefix,200,0.817000,11458,true
Merge Sort,Random,300,0.388600,4621,true
Quick Sort,Random,300,1.008000,5625,true
Radix Sort,Random,300,1.343600,1221,true
Radix+Quick Sort,Random,300,0.759800,1842,true
Merge Sort,Sorted,300,0.224000,2993,true
Quick Sort,Sorted,300,1.069600,5621,true
Radix Sort,Sorted,300,0.500200,1218,true
Radix+Quick Sort,Sorted,300,0.737200,1890,true
Merge Sort,Reverse Sorted,300,0.238600,2696,true
Quick Sort,Reverse Sorted,300,1.008600,5598,true
Radix Sort,Reverse Sorted,300,0.492000,1216,true
Radix+Quick Sort,Reverse Sorted,300,0.734800,1870,true
Merge Sort,Almost Sorted,300,0.277200,4085,true
Quick Sort,Almost Sorted,300,0.985400,5730,true
Radix Sort,Almost Sorted,300,0.490800,1218,true
Radix+Quick Sort,Almost Sorted,300,0.742600,1896,true
Merge Sort,Common Prefix,300,0.532800,15097,true
Quick Sort,Common Prefix,300,1.245200,18136,true
Radix Sort,Common Prefix,300,0.767400,4220,true
